"idTurno";"Empleado_DNI_empleado";"hora_inicio";"hora_fin";"dia_semana"
189;59255413;800;1400;"sabado"
190;43975988;800;1400;"sabado"
191;77943496;1400;2000;"sabado"
192;64505267;1400;2000;"sabado"
193;70082241;800;1400;"lunes"
194;50581137;800;1400;"lunes"
195;15371333;1400;2000;"lunes"
196;81549549;1400;2000;"lunes"
197;70082241;800;1400;"martes"
198;50581137;800;1400;"martes"
199;15371333;1400;2000;"martes"
200;81549549;1400;2000;"martes"
201;70082241;800;1400;"miercoles"
202;50581137;800;1400;"miercoles"
203;15371333;1400;2000;"miercoles"
204;81549549;1400;2000;"miercoles"
205;70082241;800;1400;"jueves"
206;50581137;800;1400;"jueves"
207;15371333;1400;2000;"jueves"
208;81549549;1400;2000;"jueves"
209;70082241;800;1400;"viernes"
210;50581137;800;1400;"viernes"
211;15371333;1400;2000;"viernes"
212;81549549;1400;2000;"viernes"
213;70082241;800;1400;"sabado"
214;50581137;800;1400;"sabado"
215;15371333;1400;2000;"sabado"
216;81549549;1400;2000;"sabado"
217;89647786;800;1400;"lunes"
218;63606415;800;1400;"lunes"
219;19454316;1400;2000;"lunes"
220;12955480;1400;2000;"lunes"
221;89647786;800;1400;"martes"
222;63606415;800;1400;"martes"
223;19454316;1400;2000;"martes"
224;12955480;1400;2000;"martes"
225;89647786;800;1400;"miercoles"
226;63606415;800;1400;"miercoles"
227;19454316;1400;2000;"miercoles"
228;12955480;1400;2000;"miercoles"
229;89647786;800;1400;"jueves"
230;63606415;800;1400;"jueves"
231;19454316;1400;2000;"jueves"
232;12955480;1400;2000;"jueves"
233;89647786;800;1400;"viernes"
234;63606415;800;1400;"viernes"
235;19454316;1400;2000;"viernes"
236;12955480;1400;2000;"viernes"
237;89647786;800;1400;"sabado"
238;63606415;800;1400;"sabado"
239;19454316;1400;2000;"sabado"
240;12955480;1400;2000;"sabado"
241;91868876;800;1400;"lunes"
242;66593237;800;1400;"lunes"
243;42122146;1400;2000;"lunes"
244;48601762;1400;2000;"lunes"
245;91868876;800;1400;"martes"
246;66593237;800;1400;"martes"
247;42122146;1400;2000;"martes"
248;48601762;1400;2000;"martes"
249;91868876;800;1400;"miercoles"
250;66593237;800;1400;"miercoles"
251;42122146;1400;2000;"miercoles"
252;48601762;1400;2000;"miercoles"
253;91868876;800;1400;"jueves"
254;66593237;800;1400;"jueves"
255;42122146;1400;2000;"jueves"
256;48601762;1400;2000;"jueves"
257;91868876;800;1400;"viernes"
258;66593237;800;1400;"viernes"
259;42122146;1400;2000;"viernes"
260;48601762;1400;2000;"viernes"
261;91868876;800;1400;"sabado"
262;66593237;800;1400;"sabado"
263;42122146;1400;2000;"sabado"
264;48601762;1400;2000;"sabado"
265;68997720;800;1400;"lunes"
266;42909107;800;1400;"lunes"
267;83662889;1400;2000;"lunes"
268;24501443;1400;2000;"lunes"
269;68997720;800;1400;"martes"
270;42909107;800;1400;"martes"
271;83662889;1400;2000;"martes"
272;24501443;1400;2000;"martes"
273;68997720;800;1400;"miercoles"
274;42909107;800;1400;"miercoles"
275;83662889;1400;2000;"miercoles"
276;24501443;1400;2000;"miercoles"
277;68997720;800;1400;"jueves"
278;42909107;800;1400;"jueves"
279;83662889;1400;2000;"jueves"
280;24501443;1400;2000;"jueves"
281;68997720;800;1400;"viernes"
282;42909107;800;1400;"viernes"
283;83662889;1400;2000;"viernes"
284;24501443;1400;2000;"viernes"
285;68997720;800;1400;"sabado"
286;42909107;800;1400;"sabado"
287;83662889;1400;2000;"sabado"
288;24501443;1400;2000;"sabado"
289;85445908;800;1400;"lunes"
290;37620065;800;1400;"lunes"
291;16922856;1400;2000;"lunes"
292;52646733;1400;2000;"lunes"
293;85445908;800;1400;"martes"
294;37620065;800;1400;"martes"
295;16922856;1400;2000;"martes"
296;52646733;1400;2000;"martes"
297;85445908;800;1400;"miercoles"
298;37620065;800;1400;"miercoles"
299;16922856;1400;2000;"miercoles"
300;52646733;1400;2000;"miercoles"
301;85445908;800;1400;"jueves"
302;37620065;800;1400;"jueves"
303;16922856;1400;2000;"jueves"
304;52646733;1400;2000;"jueves"
305;85445908;800;1400;"viernes"
306;37620065;800;1400;"viernes"
307;16922856;1400;2000;"viernes"
308;52646733;1400;2000;"viernes"
309;85445908;800;1400;"sabado"
310;37620065;800;1400;"sabado"
311;16922856;1400;2000;"sabado"
312;52646733;1400;2000;"sabado"
313;21972012;800;1400;"lunes"
314;90453883;800;1400;"lunes"
315;30173148;1400;2000;"lunes"
316;36971023;1400;2000;"lunes"
317;21972012;800;1400;"martes"
318;90453883;800;1400;"martes"
319;30173148;1400;2000;"martes"
320;36971023;1400;2000;"martes"
321;21972012;800;1400;"miercoles"
322;90453883;800;1400;"miercoles"
323;30173148;1400;2000;"miercoles"
324;36971023;1400;2000;"miercoles"
325;21972012;800;1400;"jueves"
326;90453883;800;1400;"jueves"
327;30173148;1400;2000;"jueves"
328;36971023;1400;2000;"jueves"
329;21972012;800;1400;"viernes"
330;90453883;800;1400;"viernes"
331;30173148;1400;2000;"viernes"
332;36971023;1400;2000;"viernes"
333;21972012;800;1400;"sabado"
334;90453883;800;1400;"sabado"
335;30173148;1400;2000;"sabado"
336;36971023;1400;2000;"sabado"
337;17299897;800;1400;"lunes"
338;10438330;800;1400;"lunes"
339;19197029;1400;2000;"lunes"
340;84239222;1400;2000;"lunes"
341;17299897;800;1400;"martes"
342;10438330;800;1400;"martes"
343;19197029;1400;2000;"martes"
344;84239222;1400;2000;"martes"
345;17299897;800;1400;"miercoles"
346;10438330;800;1400;"miercoles"
347;19197029;1400;2000;"miercoles"
348;84239222;1400;2000;"miercoles"
349;17299897;800;1400;"jueves"
350;10438330;800;1400;"jueves"
351;19197029;1400;2000;"jueves"
352;84239222;1400;2000;"jueves"
353;17299897;800;1400;"viernes"
354;10438330;800;1400;"viernes"
355;19197029;1400;2000;"viernes"
356;84239222;1400;2000;"viernes"
357;17299897;800;1400;"sabado"
358;10438330;800;1400;"sabado"
359;19197029;1400;2000;"sabado"
360;84239222;1400;2000;"sabado"
361;68008209;800;1400;"lunes"
362;87290739;800;1400;"lunes"
363;26050833;1400;2000;"lunes"
364;26732300;1400;2000;"lunes"
365;68008209;800;1400;"martes"
366;87290739;800;1400;"martes"
367;26050833;1400;2000;"martes"
368;26732300;1400;2000;"martes"
369;68008209;800;1400;"miercoles"
370;87290739;800;1400;"miercoles"
371;26050833;1400;2000;"miercoles"
372;26732300;1400;2000;"miercoles"
373;68008209;800;1400;"jueves"
374;87290739;800;1400;"jueves"
375;26050833;1400;2000;"jueves"
376;26732300;1400;2000;"jueves"
377;68008209;800;1400;"viernes"
378;87290739;800;1400;"viernes"
379;26050833;1400;2000;"viernes"
380;26732300;1400;2000;"viernes"
381;68008209;800;1400;"sabado"
382;87290739;800;1400;"sabado"
383;26050833;1400;2000;"sabado"
384;26732300;1400;2000;"sabado"
385;27697717;800;1400;"lunes"
386;95705160;800;1400;"lunes"
387;88872387;1400;2000;"lunes"
388;63830297;1400;2000;"lunes"
389;27697717;800;1400;"martes"
390;95705160;800;1400;"martes"
391;88872387;1400;2000;"martes"
392;63830297;1400;2000;"martes"
393;27697717;800;1400;"miercoles"
394;95705160;800;1400;"miercoles"
395;88872387;1400;2000;"miercoles"
396;63830297;1400;2000;"miercoles"
397;27697717;800;1400;"jueves"
398;95705160;800;1400;"jueves"
399;88872387;1400;2000;"jueves"
400;63830297;1400;2000;"jueves"
401;27697717;800;1400;"viernes"
402;95705160;800;1400;"viernes"
403;88872387;1400;2000;"viernes"
404;63830297;1400;2000;"viernes"
405;27697717;800;1400;"sabado"
406;95705160;800;1400;"sabado"
407;88872387;1400;2000;"sabado"
408;63830297;1400;2000;"sabado"
409;55738420;800;1400;"lunes"
410;41444081;800;1400;"lunes"
411;29965850;1400;2000;"lunes"
412;61972303;1400;2000;"lunes"
413;55738420;800;1400;"martes"
414;41444081;800;1400;"martes"
415;29965850;1400;2000;"martes"
416;61972303;1400;2000;"martes"
417;55738420;800;1400;"miercoles"
418;41444081;800;1400;"miercoles"
419;29965850;1400;2000;"miercoles"
420;61972303;1400;2000;"miercoles"
421;55738420;800;1400;"jueves"
422;41444081;800;1400;"jueves"
423;29965850;1400;2000;"jueves"
424;61972303;1400;2000;"jueves"
425;55738420;800;1400;"viernes"
426;41444081;800;1400;"viernes"
427;29965850;1400;2000;"viernes"
428;61972303;1400;2000;"viernes"
429;55738420;800;1400;"sabado"
430;41444081;800;1400;"sabado"
431;29965850;1400;2000;"sabado"
432;61972303;1400;2000;"sabado"
433;47269678;800;1400;"lunes"
434;57966588;800;1400;"lunes"
435;12086026;1400;2000;"lunes"
436;90832845;1400;2000;"lunes"
437;47269678;800;1400;"martes"
438;57966588;800;1400;"martes"
439;12086026;1400;2000;"martes"
440;90832845;1400;2000;"martes"
441;47269678;800;1400;"miercoles"
442;57966588;800;1400;"miercoles"
443;12086026;1400;2000;"miercoles"
444;90832845;1400;2000;"miercoles"
445;47269678;800;1400;"jueves"
446;57966588;800;1400;"jueves"
447;12086026;1400;2000;"jueves"
448;90832845;1400;2000;"jueves"
449;47269678;800;1400;"viernes"
450;57966588;800;1400;"viernes"
451;12086026;1400;2000;"viernes"
452;90832845;1400;2000;"viernes"
453;47269678;800;1400;"sabado"
454;57966588;800;1400;"sabado"
455;12086026;1400;2000;"sabado"
456;90832845;1400;2000;"sabado"
457;76680251;800;1400;"lunes"
458;37449875;800;1400;"lunes"
459;28163074;1400;2000;"lunes"
460;69312732;1400;2000;"lunes"
461;76680251;800;1400;"martes"
462;37449875;800;1400;"martes"
463;28163074;1400;2000;"martes"
464;69312732;1400;2000;"martes"
465;76680251;800;1400;"miercoles"
466;37449875;800;1400;"miercoles"
467;28163074;1400;2000;"miercoles"
468;69312732;1400;2000;"miercoles"
469;76680251;800;1400;"jueves"
470;37449875;800;1400;"jueves"
471;28163074;1400;2000;"jueves"
472;69312732;1400;2000;"jueves"
473;76680251;800;1400;"viernes"
474;37449875;800;1400;"viernes"
475;28163074;1400;2000;"viernes"
476;69312732;1400;2000;"viernes"
477;76680251;800;1400;"sabado"
478;37449875;800;1400;"sabado"
479;28163074;1400;2000;"sabado"
480;69312732;1400;2000;"sabado"
481;97134009;800;1400;"lunes"
482;20739384;800;1400;"lunes"
483;67794288;1400;2000;"lunes"
484;43149247;1400;2000;"lunes"
485;97134009;800;1400;"martes"
486;20739384;800;1400;"martes"
487;67794288;1400;2000;"martes"
488;43149247;1400;2000;"martes"
489;97134009;800;1400;"miercoles"
490;20739384;800;1400;"miercoles"
491;67794288;1400;2000;"miercoles"
492;43149247;1400;2000;"miercoles"
493;97134009;800;1400;"jueves"
494;20739384;800;1400;"jueves"
495;67794288;1400;2000;"jueves"
496;43149247;1400;2000;"jueves"
497;97134009;800;1400;"viernes"
498;20739384;800;1400;"viernes"
499;67794288;1400;2000;"viernes"
500;43149247;1400;2000;"viernes"
501;97134009;800;1400;"sabado"
502;20739384;800;1400;"sabado"
503;67794288;1400;2000;"sabado"
504;43149247;1400;2000;"sabado"
505;11515810;800;1400;"lunes"
506;74508172;800;1400;"lunes"
507;10154134;1400;2000;"lunes"
508;60850603;1400;2000;"lunes"
509;11515810;800;1400;"martes"
510;74508172;800;1400;"martes"
511;10154134;1400;2000;"martes"
512;60850603;1400;2000;"martes"
513;11515810;800;1400;"miercoles"
514;74508172;800;1400;"miercoles"
515;10154134;1400;2000;"miercoles"
516;60850603;1400;2000;"miercoles"
517;11515810;800;1400;"jueves"
518;74508172;800;1400;"jueves"
519;10154134;1400;2000;"jueves"
520;60850603;1400;2000;"jueves"
521;11515810;800;1400;"viernes"
522;74508172;800;1400;"viernes"
523;10154134;1400;2000;"viernes"
524;60850603;1400;2000;"viernes"
525;11515810;800;1400;"sabado"
526;74508172;800;1400;"sabado"
527;10154134;1400;2000;"sabado"
528;60850603;1400;2000;"sabado"
529;87585233;800;1400;"lunes"
530;96040040;800;1400;"lunes"
531;70005274;1400;2000;"lunes"
532;87631775;1400;2000;"lunes"
533;87585233;800;1400;"martes"
534;96040040;800;1400;"martes"
535;70005274;1400;2000;"martes"
536;87631775;1400;2000;"martes"
537;87585233;800;1400;"miercoles"
538;96040040;800;1400;"miercoles"
539;70005274;1400;2000;"miercoles"
540;87631775;1400;2000;"miercoles"
541;87585233;800;1400;"jueves"
542;96040040;800;1400;"jueves"
543;70005274;1400;2000;"jueves"
544;87631775;1400;2000;"jueves"
545;87585233;800;1400;"viernes"
546;96040040;800;1400;"viernes"
547;70005274;1400;2000;"viernes"
548;87631775;1400;2000;"viernes"
549;87585233;800;1400;"sabado"
550;96040040;800;1400;"sabado"
551;70005274;1400;2000;"sabado"
552;87631775;1400;2000;"sabado"
553;92547483;800;1400;"lunes"
554;29972754;800;1400;"lunes"
555;55521579;1400;2000;"lunes"
556;97959843;1400;2000;"lunes"
557;92547483;800;1400;"martes"
558;29972754;800;1400;"martes"
559;55521579;1400;2000;"martes"
560;97959843;1400;2000;"martes"
561;92547483;800;1400;"miercoles"
562;29972754;800;1400;"miercoles"
563;55521579;1400;2000;"miercoles"
564;97959843;1400;2000;"miercoles"
565;92547483;800;1400;"jueves"
566;29972754;800;1400;"jueves"
567;55521579;1400;2000;"jueves"
568;97959843;1400;2000;"jueves"
569;92547483;800;1400;"viernes"
570;29972754;800;1400;"viernes"
571;55521579;1400;2000;"viernes"
572;97959843;1400;2000;"viernes"
573;92547483;800;1400;"sabado"
574;29972754;800;1400;"sabado"
575;55521579;1400;2000;"sabado"
576;97959843;1400;2000;"sabado"
577;34626645;800;1400;"lunes"
578;76154164;800;1400;"lunes"
579;24753980;1400;2000;"lunes"
580;16333734;1400;2000;"lunes"
581;34626645;800;1400;"martes"
582;76154164;800;1400;"martes"
583;24753980;1400;2000;"martes"
584;16333734;1400;2000;"martes"
585;34626645;800;1400;"miercoles"
586;76154164;800;1400;"miercoles"
587;24753980;1400;2000;"miercoles"
588;16333734;1400;2000;"miercoles"
589;34626645;800;1400;"jueves"
590;76154164;800;1400;"jueves"
591;24753980;1400;2000;"jueves"
592;16333734;1400;2000;"jueves"
593;34626645;800;1400;"viernes"
594;76154164;800;1400;"viernes"
595;24753980;1400;2000;"viernes"
596;16333734;1400;2000;"viernes"
597;34626645;800;1400;"sabado"
598;76154164;800;1400;"sabado"
599;24753980;1400;2000;"sabado"
600;16333734;1400;2000;"sabado"
601;90363070;800;1400;"lunes"
602;20896526;800;1400;"lunes"
603;26203237;1400;2000;"lunes"
604;32356529;1400;2000;"lunes"
605;90363070;800;1400;"martes"
606;20896526;800;1400;"martes"
607;26203237;1400;2000;"martes"
608;32356529;1400;2000;"martes"
609;90363070;800;1400;"miercoles"
610;20896526;800;1400;"miercoles"
611;26203237;1400;2000;"miercoles"
612;32356529;1400;2000;"miercoles"
613;90363070;800;1400;"jueves"
614;20896526;800;1400;"jueves"
615;26203237;1400;2000;"jueves"
616;32356529;1400;2000;"jueves"
617;90363070;800;1400;"viernes"
618;20896526;800;1400;"viernes"
619;26203237;1400;2000;"viernes"
620;32356529;1400;2000;"viernes"
621;90363070;800;1400;"sabado"
622;20896526;800;1400;"sabado"
623;26203237;1400;2000;"sabado"
624;32356529;1400;2000;"sabado"
625;61747018;800;1400;"lunes"
626;18778573;800;1400;"lunes"
627;41150081;1400;2000;"lunes"
628;74456416;1400;2000;"lunes"
629;61747018;800;1400;"martes"
630;18778573;800;1400;"martes"
631;41150081;1400;2000;"martes"
632;74456416;1400;2000;"martes"
633;61747018;800;1400;"miercoles"
634;18778573;800;1400;"miercoles"
635;41150081;1400;2000;"miercoles"
636;74456416;1400;2000;"miercoles"
637;61747018;800;1400;"jueves"
638;18778573;800;1400;"jueves"
639;41150081;1400;2000;"jueves"
640;74456416;1400;2000;"jueves"
641;61747018;800;1400;"viernes"
642;18778573;800;1400;"viernes"
643;41150081;1400;2000;"viernes"
644;74456416;1400;2000;"viernes"
645;61747018;800;1400;"sabado"
646;18778573;800;1400;"sabado"
647;41150081;1400;2000;"sabado"
648;74456416;1400;2000;"sabado"
649;15031305;800;1400;"lunes"
650;48828786;800;1400;"lunes"
651;31834888;1400;2000;"lunes"
652;70980965;1400;2000;"lunes"
653;15031305;800;1400;"martes"
654;48828786;800;1400;"martes"
655;31834888;1400;2000;"martes"
656;70980965;1400;2000;"martes"
657;15031305;800;1400;"miercoles"
658;48828786;800;1400;"miercoles"
659;31834888;1400;2000;"miercoles"
660;70980965;1400;2000;"miercoles"
661;15031305;800;1400;"jueves"
662;48828786;800;1400;"jueves"
663;31834888;1400;2000;"jueves"
664;70980965;1400;2000;"jueves"
665;15031305;800;1400;"viernes"
666;48828786;800;1400;"viernes"
667;31834888;1400;2000;"viernes"
668;70980965;1400;2000;"viernes"
669;15031305;800;1400;"sabado"
670;48828786;800;1400;"sabado"
671;31834888;1400;2000;"sabado"
672;70980965;1400;2000;"sabado"
673;96403310;800;1400;"lunes"
674;37041420;800;1400;"lunes"
675;26997174;1400;2000;"lunes"
676;87590055;1400;2000;"lunes"
677;96403310;800;1400;"martes"
678;37041420;800;1400;"martes"
679;26997174;1400;2000;"martes"
680;87590055;1400;2000;"martes"
681;96403310;800;1400;"miercoles"
682;37041420;800;1400;"miercoles"
683;26997174;1400;2000;"miercoles"
684;87590055;1400;2000;"miercoles"
685;96403310;800;1400;"jueves"
686;37041420;800;1400;"jueves"
687;26997174;1400;2000;"jueves"
688;87590055;1400;2000;"jueves"
689;96403310;800;1400;"viernes"
690;37041420;800;1400;"viernes"
691;26997174;1400;2000;"viernes"
692;87590055;1400;2000;"viernes"
693;96403310;800;1400;"sabado"
694;37041420;800;1400;"sabado"
695;26997174;1400;2000;"sabado"
696;87590055;1400;2000;"sabado"
697;86327136;800;1400;"lunes"
698;55142618;800;1400;"lunes"
699;54867089;1400;2000;"lunes"
700;30527294;1400;2000;"lunes"
701;86327136;800;1400;"martes"
702;55142618;800;1400;"martes"
703;54867089;1400;2000;"martes"
704;30527294;1400;2000;"martes"
705;86327136;800;1400;"miercoles"
706;55142618;800;1400;"miercoles"
707;54867089;1400;2000;"miercoles"
708;30527294;1400;2000;"miercoles"
709;86327136;800;1400;"jueves"
710;55142618;800;1400;"jueves"
711;54867089;1400;2000;"jueves"
712;30527294;1400;2000;"jueves"
713;86327136;800;1400;"viernes"
714;55142618;800;1400;"viernes"
715;54867089;1400;2000;"viernes"
716;30527294;1400;2000;"viernes"
717;86327136;800;1400;"sabado"
718;55142618;800;1400;"sabado"
719;54867089;1400;2000;"sabado"
720;30527294;1400;2000;"sabado"
