"Id_receta";"Fecha_emision_receta";"Rotulo_receta";"Tipo_tratamiento_receta";"Replica_receta";"Tratamiento_prolongado_receta";"cliente_DNI_cliente";"M�dico_numMatr�cula"
68;"2024-06-06 01:51:12";"";"";"simple";1;90855012;482206
69;"2024-05-28 11:03:29";"Hospital General de Buenos Aires";"acupuntura";"simple";0;68573402;317200
70;"2024-05-19 17:15:24";"Clínica San Martín";"psicotr�pico";"duplicada";0;82798038;103570
71;"2024-05-19 20:45:32";"";"acupuntura";"simple";0;89647534;523306
72;"2024-05-17 15:44:03";"Centro Médico Rosario";"tratamiento con láser";"simple";0;26094445;116242
73;"2024-06-04 18:57:51";"";"terapia de masajes";"simple";0;40884458;520636
74;"2024-05-29 08:27:40";"Centro Médico Rosario";"terapia cognitivo-conductual";"simple";0;27813078;410608
75;"2024-05-26 01:35:51";"";"antibi�tico";"archivada";0;37517695;356218
76;"2024-06-03 01:07:15";"Sanatorio Belgrano";"terapia física";"simple";0;56246254;453310
77;"2024-06-02 05:39:40";"Hospital General de Buenos Aires";"medicación";"simple";0;39676214;341938
78;"2024-05-31 12:30:36";"Clínica San Martín";"tratamiento homeopático";"simple";0;82631058;279280
79;"2024-05-19 19:36:32";"";"terapia de masajes";"simple";0;58133538;286930
80;"2024-05-30 03:19:06";"Hospital General de Buenos Aires";"antibi�tico";"duplicada";0;76596759;102760
81;"2024-05-31 04:26:37";"Hospital General de Buenos Aires";"terapia de grupo";"simple";0;38607473;597982
82;"2024-05-19 21:39:24";"Clínica San Martín";"terapia ocupacional";"simple";0;51940267;384022
83;"2024-05-29 20:53:06";"Sanatorio Belgrano";"terapia cognitivo-conductual";"simple";0;73000250;535090
84;"2024-05-31 04:46:36";"Sanatorio Belgrano";"terapia de masajes";"simple";0;52007891;174310
85;"2024-06-03 17:36:41";"";"terapia física";"simple";0;84628638;236062
86;"2024-06-07 01:55:41";"";"psicotr�pico";"duplicada";0;90768757;413638
87;"2024-05-21 11:41:56";"Clínica San Martín";"tratamiento con láser";"simple";0;21997152;241444
88;"2024-05-29 06:25:47";"";"terapia de grupo";"simple";0;73291498;267700
89;"2024-05-18 01:04:32";"Instituto de Salud Pública de Córdoba";"psicotr�pico";"archivada";1;66958667;424786
90;"2024-05-28 15:59:40";"";"tratamiento con láser";"simple";0;39581947;172522
91;"2024-06-01 15:17:19";"Instituto de Salud Pública de Córdoba";"terapia física";"simple";0;79226212;527266
92;"2024-05-15 23:57:46";"Centro Médico Rosario";"medicación";"simple";0;25351390;273838
93;"2024-05-25 11:36:02";"";"";"simple";0;99401457;285334
94;"2024-05-24 19:59:28";"Clínica San Martín";"terapia física";"simple";0;76595564;439678
95;"2024-06-01 16:22:11";"";"cirugía";"simple";1;33943237;517336
96;"2024-05-23 07:12:41";"Sanatorio Belgrano";"terapia física";"simple";0;43053638;341062
97;"2024-05-23 10:37:41";"Centro Médico Rosario";"tratamiento homeopático";"simple";0;10603969;374332
98;"2024-05-30 22:27:53";"Hospital General de Buenos Aires";"terapia de masajes";"simple";0;77268910;595678
99;"2024-05-23 22:18:06";"Instituto de Salud Pública de Córdoba";"terapia cognitivo-conductual";"simple";0;52467275;256324
100;"2024-05-29 09:33:39";"Instituto de Salud Pública de Córdoba";"psicotr�pico";"duplicada";0;71097509;279280
101;"2024-05-29 20:16:11";"Centro Médico Rosario";"antibi�tico";"duplicada";0;59707538;345796
102;"2024-06-01 23:17:34";"Hospital General de Buenos Aires";"psicotr�pico";"archivada";0;35409229;336844
103;"2024-05-21 07:22:48";"Instituto de Salud Pública de Córdoba";"tratamiento homeopático";"simple";0;78686736;234034
104;"2024-05-27 22:49:21";"";"psicotr�pico";"triplicada";1;83541486;470968
105;"2024-05-27 03:15:48";"";"medicación";"simple";0;23223808;408208
106;"2024-05-26 21:56:17";"";"tratamiento homeopático";"simple";0;81351237;350398
107;"2024-05-26 17:01:13";"Instituto de Salud Pública de Córdoba";"";"simple";1;23170986;259774
108;"2024-05-14 00:54:19";"Sanatorio Belgrano";"tratamiento con láser";"simple";0;85606083;187450
109;"2024-05-22 10:53:45";"Instituto de Salud Pública de Córdoba";"terapia de grupo";"simple";0;44221817;384022
110;"2024-06-04 18:24:49";"Centro Médico Rosario";"tratamiento con láser";"simple";0;92084253;579232
111;"2024-05-21 05:55:26";"Clínica San Martín";"terapia de grupo";"simple";0;20062102;409594
112;"2024-06-06 20:41:28";"";"terapia de masajes";"simple";0;56805722;436036
113;"2024-05-23 12:29:27";"";"terapia física";"simple";0;25879855;362110
114;"2024-06-06 18:55:39";"Hospital General de Buenos Aires";"tratamiento con láser";"simple";0;22436083;224002
115;"2024-05-26 21:12:39";"Hospital General de Buenos Aires";"";"simple";0;14180322;399472
116;"2024-05-17 06:38:02";"Clínica San Martín";"medicación";"simple";0;64121971;204838
117;"2024-05-27 06:32:54";"";"cirugía";"simple";0;56805722;247600
118;"2024-05-25 11:22:06";"Centro Médico Rosario";"acupuntura";"simple";0;71015624;514192
119;"2024-05-21 11:57:26";"Hospital General de Buenos Aires";"";"simple";0;68358683;237592
120;"2024-05-24 10:50:07";"";"medicación";"simple";0;47962084;480028
121;"2024-05-17 03:20:38";"Clínica San Martín";"medicación";"simple";0;63097573;508282
122;"2024-06-03 01:33:22";"Sanatorio Belgrano";"terapia de masajes";"simple";0;79246698;267700
123;"2024-06-07 09:19:52";"Clínica San Martín";"psicotr�pico";"triplicada";0;21997152;187852
124;"2024-06-01 09:37:40";"Instituto de Salud Pública de Córdoba";"tratamiento con láser";"simple";0;19067948;403612
125;"2024-05-25 02:09:20";"";"medicación";"simple";0;80355727;133180
126;"2024-05-18 19:11:47";"";"tratamiento homeopático";"simple";0;21611713;517336
127;"2024-05-21 16:18:56";"Centro Médico Rosario";"terapia de masajes";"simple";0;57187470;212620
128;"2024-05-20 08:10:31";"";"medicación";"simple";0;21440470;535090
129;"2024-05-30 04:08:51";"Clínica San Martín";"terapia física";"simple";1;79381924;173110
130;"2024-05-25 23:43:33";"Clínica San Martín";"psicotr�pico";"duplicada";0;66068317;267700
131;"2024-05-27 10:32:09";"Instituto de Salud Pública de Córdoba";"antibi�tico";"triplicada";0;19067948;132820
132;"2024-05-18 05:50:40";"";"terapia de masajes";"simple";0;64260818;222862
133;"2024-05-20 23:16:42";"Instituto de Salud Pública de Córdoba";"terapia ocupacional";"simple";0;33457504;363022
134;"2024-06-03 14:07:34";"Instituto de Salud Pública de Córdoba";"";"simple";0;33943237;187852
135;"2024-05-21 09:03:17";"Instituto de Salud Pública de Córdoba";"tratamiento homeopático";"simple";0;38607473;283240
136;"2024-05-23 03:00:34";"Clínica San Martín";"antibi�tico";"archivada";0;14180322;483160
137;"2024-05-27 03:38:06";"Clínica San Martín";"terapia física";"simple";0;42608781;122224
138;"2024-06-07 13:18:09";"";"terapia física";"simple";1;66412973;592918
139;"2024-05-30 10:33:17";"Sanatorio Belgrano";"terapia cognitivo-conductual";"simple";0;28599441;341062
140;"2024-05-16 21:15:45";"";"psicotr�pico";"duplicada";0;22131187;577084
141;"2024-05-15 17:17:00";"";"antibi�tico";"triplicada";0;79951301;182758
142;"2024-06-07 20:18:07";"";"terapia ocupacional";"simple";0;14252328;452824
143;"2024-05-20 06:53:40";"";"terapia ocupacional";"simple";0;71097509;254848
144;"2024-06-04 04:12:06";"Centro Médico Rosario";"acupuntura";"simple";0;68511262;447754
145;"2024-05-25 03:59:38";"Instituto de Salud Pública de Córdoba";"antibi�tico";"archivada";0;18853070;433066
146;"2024-05-20 10:52:53";"Hospital General de Buenos Aires";"terapia de grupo";"simple";0;19080050;132250
147;"2024-05-21 18:28:26";"Hospital General de Buenos Aires";"acupuntura";"simple";0;53148138;279280
148;"2024-05-27 12:56:37";"Instituto de Salud Pública de Córdoba";"terapia de masajes";"simple";0;51974799;241444
149;"2024-05-28 23:25:52";"Sanatorio Belgrano";"psicotr�pico";"archivada";0;85789200;353008
150;"2024-06-03 11:21:33";"Centro Médico Rosario";"antibi�tico";"archivada";0;82596357;126345
151;"2024-05-26 18:46:35";"Centro Médico Rosario";"terapia cognitivo-conductual";"simple";1;91777212;424786
152;"2024-05-31 22:06:49";"Centro Médico Rosario";"acupuntura";"simple";0;32353994;331300
153;"2024-05-27 10:41:59";"Hospital General de Buenos Aires";"medicación";"simple";0;38201425;576580
154;"2024-05-28 06:18:53";"";"tratamiento homeopático";"simple";0;88585237;323260
155;"2024-05-21 07:21:58";"";"terapia física";"simple";0;97577237;522298
156;"2024-05-20 17:28:11";"";"psicotr�pico";"duplicada";0;18845261;456478
157;"2024-05-24 17:53:25";"";"acupuntura";"simple";1;81351237;430966
158;"2024-05-18 23:21:23";"Centro Médico Rosario";"terapia de masajes";"simple";0;32570310;236554
159;"2024-05-22 22:22:51";"Hospital General de Buenos Aires";"terapia de masajes";"simple";0;70520707;356218
160;"2024-05-31 12:29:36";"";"cirugía";"simple";1;52467275;570322
161;"2024-05-15 16:48:22";"Centro Médico Rosario";"acupuntura";"simple";0;92993237;121846
162;"2024-05-24 21:26:59";"Instituto de Salud Pública de Córdoba";"terapia de masajes";"simple";0;31761780;435040
163;"2024-05-19 21:12:14";"Clínica San Martín";"medicación";"simple";1;85755444;466654
164;"2024-05-25 03:03:03";"Centro Médico Rosario";"tratamiento con láser";"simple";0;58133538;514336
165;"2024-05-24 13:16:53";"Sanatorio Belgrano";"cirugía";"simple";0;49335895;514192
166;"2024-06-05 02:02:37";"";"terapia de masajes";"simple";0;58303482;109678
167;"2024-05-20 00:26:51";"Sanatorio Belgrano";"cirugía";"simple";0;52467275;506386
168;"2024-06-03 19:02:39";"Hospital General de Buenos Aires";"tratamiento con láser";"simple";0;19940628;532828
169;"2024-06-03 19:41:16";"";"psicotr�pico";"triplicada";0;99366827;592792
170;"2024-05-29 10:55:30";"Sanatorio Belgrano";"";"simple";0;61786849;405616
171;"2024-05-18 22:08:51";"Instituto de Salud Pública de Córdoba";"antibi�tico";"archivada";0;59707538;541804
172;"2024-05-21 21:06:11";"";"terapia de masajes";"simple";0;76595564;564718
173;"2024-05-25 14:08:52";"Hospital General de Buenos Aires";"cirugía";"simple";0;86581857;573652
174;"2024-05-27 07:29:47";"Sanatorio Belgrano";"psicotr�pico";"triplicada";0;61374904;394612
175;"2024-05-22 20:01:08";"Instituto de Salud Pública de Córdoba";"terapia física";"simple";1;54370290;582544
176;"2024-05-29 04:13:33";"Centro Médico Rosario";"terapia física";"simple";1;46257963;237592
177;"2024-06-04 04:10:57";"Centro Médico Rosario";"antibi�tico";"duplicada";0;72503758;487714
178;"2024-05-17 03:30:11";"Clínica San Martín";"terapia física";"simple";0;36751804;411112
179;"2024-05-31 12:15:52";"Instituto de Salud Pública de Córdoba";"terapia de grupo";"simple";0;45436296;332614
180;"2024-05-15 03:00:04";"Sanatorio Belgrano";"antibi�tico";"duplicada";0;79937942;364666
181;"2024-05-29 12:02:11";"Hospital General de Buenos Aires";"acupuntura";"simple";0;33665705;575422
182;"2024-06-03 20:45:42";"";"terapia física";"simple";0;83964257;535090
183;"2024-06-06 10:18:37";"Clínica San Martín";"medicación";"simple";0;52818901;451114
184;"2024-05-31 10:16:53";"Sanatorio Belgrano";"antibi�tico";"triplicada";0;52584627;408208
185;"2024-05-20 20:33:15";"Instituto de Salud Pública de Córdoba";"acupuntura";"simple";0;52007891;135706
186;"2024-05-14 22:22:23";"";"cirugía";"simple";0;47962084;517336
187;"2024-05-29 06:19:03";"Clínica San Martín";"terapia de grupo";"simple";0;44792580;581968
188;"2024-05-19 22:54:51";"Hospital General de Buenos Aires";"acupuntura";"simple";0;30273922;336550
189;"2024-05-31 00:47:33";"Clínica San Martín";"antibi�tico";"duplicada";0;19347148;487192
190;"2024-06-01 19:05:45";"Sanatorio Belgrano";"acupuntura";"simple";0;65007748;456478
191;"2024-05-30 23:00:01";"";"terapia ocupacional";"simple";0;19347148;476866
192;"2024-05-31 00:23:34";"";"tratamiento homeopático";"simple";0;86060893;595678
193;"2024-05-30 21:28:33";"Hospital General de Buenos Aires";"antibi�tico";"duplicada";0;82798038;309874
194;"2024-05-17 19:32:47";"";"antibi�tico";"triplicada";0;27400088;407074
195;"2024-05-16 20:14:46";"";"terapia cognitivo-conductual";"simple";0;28521677;215164
196;"2024-05-15 12:20:36";"";"antibi�tico";"triplicada";0;81829099;228490
197;"2024-05-22 12:20:47";"Hospital General de Buenos Aires";"terapia física";"simple";0;94454199;180844
198;"2024-05-17 15:17:47";"Instituto de Salud Pública de Córdoba";"antibi�tico";"duplicada";0;20268046;435040
199;"2024-06-06 11:46:07";"";"antibi�tico";"archivada";0;49335895;323260
200;"2024-05-31 22:22:45";"Hospital General de Buenos Aires";"acupuntura";"simple";0;82169374;126345
201;"2024-05-22 18:58:29";"Sanatorio Belgrano";"tratamiento homeopático";"simple";0;69452895;285334
202;"2024-05-24 12:09:39";"";"";"simple";0;84628638;520636
203;"2024-05-26 16:49:40";"Hospital General de Buenos Aires";"terapia física";"simple";0;87920545;251782
204;"2024-05-16 04:13:44";"Sanatorio Belgrano";"medicación";"simple";0;34754922;507754
205;"2024-05-16 19:58:45";"";"psicotr�pico";"duplicada";0;93382185;470638
206;"2024-05-16 09:55:38";"Sanatorio Belgrano";"tratamiento homeopático";"simple";0;21025557;582430
207;"2024-06-05 17:36:41";"Instituto de Salud Pública de Córdoba";"terapia física";"simple";0;60198312;266476
208;"2024-05-23 06:00:53";"Sanatorio Belgrano";"antibi�tico";"triplicada";0;68358683;247600
209;"2024-06-01 23:21:40";"Centro Médico Rosario";"terapia cognitivo-conductual";"simple";0;32603673;494932
210;"2024-06-04 06:19:53";"Clínica San Martín";"terapia de masajes";"simple";0;69312265;268408
211;"2024-05-20 01:36:28";"";"psicotr�pico";"archivada";0;39581947;522298
212;"2024-05-27 21:48:56";"Clínica San Martín";"terapia cognitivo-conductual";"simple";0;75454424;595918
213;"2024-06-04 22:48:14";"Instituto de Salud Pública de Córdoba";"medicación";"simple";0;58303482;518266
214;"2024-05-18 06:10:02";"Centro Médico Rosario";"tratamiento con láser";"simple";0;86959523;232366
215;"2024-05-25 14:42:48";"Sanatorio Belgrano";"psicotr�pico";"archivada";0;52467275;461902
216;"2024-06-06 02:21:49";"Clínica San Martín";"";"simple";0;31457173;394612
217;"2024-05-30 13:09:49";"Centro Médico Rosario";"terapia cognitivo-conductual";"simple";0;87920545;317974
218;"2024-05-27 11:28:18";"Centro Médico Rosario";"terapia física";"simple";0;83271313;133180
219;"2024-05-19 02:10:10";"Hospital General de Buenos Aires";"terapia física";"simple";0;31296008;300118
220;"2024-05-26 20:03:32";"";"psicotr�pico";"duplicada";0;67822713;403612
221;"2024-05-18 02:50:56";"Sanatorio Belgrano";"antibi�tico";"archivada";0;41215288;538222
222;"2024-05-27 04:50:01";"Hospital General de Buenos Aires";"psicotr�pico";"triplicada";0;53440840;355534
223;"2024-06-05 19:24:49";"Instituto de Salud Pública de Córdoba";"terapia ocupacional";"simple";1;54194799;451114
224;"2024-06-03 11:46:35";"Sanatorio Belgrano";"antibi�tico";"triplicada";0;20051552;340822
225;"2024-05-31 21:46:05";"Sanatorio Belgrano";"terapia cognitivo-conductual";"simple";0;86604025;226672
226;"2024-05-30 12:53:52";"Centro Médico Rosario";"acupuntura";"simple";0;16807428;109678
227;"2024-05-24 11:53:31";"Centro Médico Rosario";"psicotr�pico";"archivada";0;20228710;471424
228;"2024-05-23 07:15:22";"Sanatorio Belgrano";"tratamiento con láser";"simple";0;78670649;143224
229;"2024-05-31 23:58:18";"Hospital General de Buenos Aires";"medicación";"simple";0;53440840;344602
230;"2024-06-05 16:18:25";"Centro Médico Rosario";"";"simple";1;82596357;578752
231;"2024-05-27 18:10:26";"";"acupuntura";"simple";0;60198312;254848
232;"2024-05-21 20:25:41";"Sanatorio Belgrano";"medicación";"simple";0;30273922;405304
233;"2024-05-15 04:50:04";"Clínica San Martín";"tratamiento con láser";"simple";0;44321257;146992
234;"2024-05-19 07:18:34";"Sanatorio Belgrano";"medicación";"simple";0;52078325;103570
235;"2024-05-31 13:17:12";"Centro Médico Rosario";"tratamiento con láser";"simple";0;88465230;480028
236;"2024-05-15 19:35:54";"Sanatorio Belgrano";"cirugía";"simple";0;65007748;216346
237;"2024-05-20 08:24:28";"Hospital General de Buenos Aires";"terapia cognitivo-conductual";"simple";0;11166859;444148
238;"2024-06-07 12:55:41";"Hospital General de Buenos Aires";"tratamiento homeopático";"simple";1;30503859;229162
239;"2024-05-31 22:23:06";"Centro Médico Rosario";"terapia de grupo";"simple";0;45369535;502984
240;"2024-06-07 11:46:02";"Instituto de Salud Pública de Córdoba";"terapia de masajes";"simple";0;78670649;532678
241;"2024-05-15 15:58:55";"Centro Médico Rosario";"terapia ocupacional";"simple";0;52584627;552838
242;"2024-06-01 23:30:15";"Hospital General de Buenos Aires";"psicotr�pico";"duplicada";0;42259609;289426
243;"2024-06-03 17:35:11";"Clínica San Martín";"";"simple";0;68358683;565162
244;"2024-06-02 21:48:58";"Hospital General de Buenos Aires";"terapia física";"simple";1;24010922;148120
245;"2024-05-26 15:16:27";"";"terapia de grupo";"simple";0;57761083;563530
246;"2024-05-17 01:59:55";"Clínica San Martín";"terapia de grupo";"simple";0;20052459;241966
247;"2024-06-03 17:06:44";"Clínica San Martín";"acupuntura";"simple";0;39738389;145150
248;"2024-05-23 20:20:23";"";"terapia física";"simple";1;65007748;485716
249;"2024-05-21 07:46:05";"";"medicación";"simple";0;34754922;466666
250;"2024-05-30 11:48:12";"Centro Médico Rosario";"medicación";"simple";0;61374904;477082
251;"2024-05-29 19:11:25";"";"antibi�tico";"duplicada";0;90097655;251782
252;"2024-05-26 05:03:07";"Instituto de Salud Pública de Córdoba";"cirugía";"simple";0;91777212;186538
253;"2024-05-27 23:32:27";"";"psicotr�pico";"duplicada";0;14495567;592918
254;"2024-05-20 18:30:55";"Instituto de Salud Pública de Córdoba";"terapia de masajes";"simple";0;13338262;487192
255;"2024-05-21 06:18:04";"Hospital General de Buenos Aires";"terapia de grupo";"simple";0;54337984;121846
256;"2024-05-17 22:39:20";"Sanatorio Belgrano";"acupuntura";"simple";0;47151089;589228
257;"2024-05-31 10:42:01";"";"";"simple";0;25873362;416578
258;"2024-05-15 10:41:41";"";"tratamiento homeopático";"simple";0;52027759;346870
259;"2024-06-06 15:37:07";"Clínica San Martín";"cirugía";"simple";0;22153307;513532
260;"2024-06-02 09:35:48";"";"acupuntura";"simple";0;91793859;190096
261;"2024-05-14 12:57:16";"Clínica San Martín";"terapia física";"simple";0;98178653;548704
262;"2024-06-02 05:04:27";"Instituto de Salud Pública de Córdoba";"medicación";"simple";0;16478694;338620
263;"2024-05-29 19:44:47";"Clínica San Martín";"tratamiento con láser";"simple";0;60693961;260122
264;"2024-05-14 23:44:10";"";"psicotr�pico";"duplicada";0;60397469;146992
265;"2024-05-22 14:21:04";"Centro Médico Rosario";"terapia cognitivo-conductual";"simple";0;52347397;301792
266;"2024-05-15 14:15:41";"";"antibi�tico";"archivada";0;95153803;311836
267;"2024-05-27 07:11:44";"Clínica San Martín";"tratamiento homeopático";"simple";1;58133538;425566
268;"2024-05-28 12:46:47";"Centro Médico Rosario";"psicotr�pico";"triplicada";0;40849716;331300
269;"2024-06-04 16:11:08";"Sanatorio Belgrano";"antibi�tico";"archivada";0;44321257;377074
270;"2024-05-14 01:24:21";"Instituto de Salud Pública de Córdoba";"terapia física";"simple";0;33457504;515662
271;"2024-05-25 17:18:11";"Clínica San Martín";"antibi�tico";"duplicada";0;90768757;254944
272;"2024-05-22 14:04:18";"Centro Médico Rosario";"terapia física";"simple";0;66068317;270718
273;"2024-05-29 20:37:21";"";"acupuntura";"simple";0;48230553;243880
274;"2024-05-22 08:20:54";"Instituto de Salud Pública de Córdoba";"antibi�tico";"archivada";0;50196129;132250
275;"2024-06-05 19:35:18";"Hospital General de Buenos Aires";"terapia física";"simple";0;25879855;211966
276;"2024-05-27 08:24:41";"Hospital General de Buenos Aires";"tratamiento con láser";"simple";0;93382185;218404
277;"2024-06-04 11:48:56";"Clínica San Martín";"";"simple";1;32570310;273838
278;"2024-05-31 15:03:43";"";"antibi�tico";"archivada";0;98445860;216346
279;"2024-05-14 11:37:04";"";"";"simple";0;13943347;523306
280;"2024-05-28 18:40:11";"";"cirugía";"simple";1;75255882;543610
281;"2024-05-21 04:08:42";"Sanatorio Belgrano";"antibi�tico";"duplicada";0;14950941;336550
282;"2024-06-07 20:43:44";"";"psicotr�pico";"archivada";0;19485033;253288
283;"2024-06-02 23:19:47";"Centro Médico Rosario";"terapia ocupacional";"simple";0;88904354;518266
284;"2024-05-20 13:38:13";"";"cirugía";"simple";0;35713262;344602
285;"2024-05-30 01:47:05";"";"terapia ocupacional";"simple";0;40849716;465256
286;"2024-05-24 20:05:40";"Centro Médico Rosario";"psicotr�pico";"duplicada";0;18490659;240376
287;"2024-06-02 18:48:38";"Hospital General de Buenos Aires";"terapia de grupo";"simple";0;14180322;282100
288;"2024-06-02 22:57:50";"";"medicación";"simple";0;73814517;348406
289;"2024-06-01 09:44:14";"Sanatorio Belgrano";"psicotr�pico";"archivada";0;14252328;531364
290;"2024-06-02 00:42:12";"Instituto de Salud Pública de Córdoba";"terapia de grupo";"simple";0;33457504;565162
291;"2024-05-20 17:44:48";"Clínica San Martín";"psicotr�pico";"duplicada";0;81351237;393340
